TIPO,FABRICANTE,MODELO,VARIANTE,MOTOR,ORI,MOD,GAIN,HP,RPM,T_ORI,T_MOD,OBD,STG,ACC,RON,VMX,CAT,EGR,DPF,IMM,SWR,MS,ADB,SS,P&B,CAT2,STG1,STG2,ONLY_J2,COMBO_J2,ONLY_J4,COMBO-J4,D_STG1,D_STG2,D_ONLY_J2,D_COMBO_J2,D_ONLY_J4,D_COMBO_J4,KESS,KTAG,KESS3,DFOX,FLEX,BITBOX,FOTO1,FOTO2,FOTO3,FOTO4,NOTAS_ESPECIALES,ID
AUTO / UTIL,AUDI,A3 8L,1.6 (101 HP),1.6,101,111,10,10,5200,151,161,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,A1,107300,128300,58600,14650,,,32190,38490,17580,4395,0,0,x,186,,,,,,,,,,19
AUTO / UTIL,AUDI,A3 8L,1.8T (150 HP),1.8T,150,188,40,57,3900,210,305,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TN1,197400,236900,78300,39150,,,59220,71070,23490,11745,0,0,x,x,,,,,,,,,,20
AUTO / UTIL,AUDI,A3 8L,1.8T (180 HP),1.8T,180,215,35,56,4600,235,335,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TN1,197400,236900,78300,39150,,,59220,71070,23490,11745,0,0,39,53,,,,,,,,,,21
AUTO / UTIL,AUDI,A3 8L,1.9TDI (90 HP),1.9TDI,90,120,30,33,3200,210,280,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TD1,125000,125000,84200,21050,131600,65800,37500,37500,25260,6315,39480,19740,11,x,,,,,,,,,,22
AUTO / UTIL,AUDI,A3 8P,1.6L 8V (102 HP),1.6L 8V,102,112,10,11,5900,151,162,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A1,107300,128300,58600,14650,,,32190,38490,17580,4395,0,0,286,x,,,,,,,,,,23
AUTO / UTIL,AUDI,A3 8P,1.9TDI (105 HP),1.9TDI,105,145,40,43,3200,240,340,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TD1,125000,125000,84200,21050,131600,65800,37500,37500,25260,6315,39480,19740,10,x,,,,,,,,,,24
AUTO / UTIL,AUDI,A3 8P,2.0TDI PD (140 HP),2.0TDI PD,140,170,30,32,3600,320,410,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TD1,125000,125000,84200,21050,131600,65800,37500,37500,25260,6315,39480,19740,62,2,,,,,,,,,,25
AUTO / UTIL,AUDI,A3 8P,2.0TFSI (200 HP),2.0TFSI,200,250,50,53,4300,280,377,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TN2,223700,263200,91500,45750,,,67110,78960,27450,13725,0,0,93,64,,,,,,,,,,26
AUTO / UTIL,AUDI,A3 8P,2.0TDI CR (140 HP),2.0TDI CR,140,180,40,42,4100,321,380,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,td3,171100,171100,100000,25000,150700,75350,51330,51330,30000,7500,45210,22605,399,1165 269,,,,,,,,,,27
AUTO / UTIL,AUDI,A3 8P,2.0TSI (211 HP),2.0TSI,211,265,54,93,4700,290,440,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TN2,223700,263200,91500,45750,,,67110,78960,27450,13725,0,0,203,128,,,,,,,,,,28
AUTO / UTIL,AUDI,A3 8P,1.8TSI (160 HP),1.8TSI,160,218,50,64,4200,256,368,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,tn2,223700,263200,91500,45750,,,67110,78960,27450,13725,0,0,203,128,,,,,,,,,,29
AUTO / UTIL,AUDI,A3 8P,1.4TFSI (125 HP),1.4TFSI,125,150,25,32,3300,209,280,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TN1,197400,236900,78300,39150,,,59220,71070,23490,11745,0,0,203,128,,,,,,,,,,30
AUTO / UTIL,AUDI,A3 8P,3.2 V6 (250 HP),3.2 V6,250,270,20,20,6200,318,340,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,A3,151300,172400,84900,21225,,,45390,51720,25470,6368,0,0,120,52,,,,,,,,,,31
AUTO / UTIL,AUDI,A3 8V,1.4T EA211 (125 HP),1.4T EA211,125,162,37,38,4900,202,262,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TN1,197400,236900,78300,39150,,,59220,71070,23490,11745,0,0,465,1321 179,,,,,,,,,,32
AUTO / UTIL,AUDI,A3 8V,1.4TSI EA211 (150 HP),1.4TSI EA211,150,175,25,39,3800,250,311,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,tn2,223700,263200,91500,45750,,,67110,78960,27450,13725,0,0,477,1323 725,,,,,,,,,,33
AUTO / UTIL,AUDI,A3 8V,1.8T GEN3 (170 HP),1.8T GEN3,170,230,70,68,5400,323,424,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TN2,223700,263200,91500,45750,,,67110,78960,27450,13725,0,0,469,x,,,,,,,,,,34
AUTO / UTIL,AUDI,A3 8V,20TSI GEN3 190HP (190 HP),20TSI GEN3 190HP,190,240,50,77,3900,320,395,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TN4,296100,339500,130900,65450,,,88830,101850,39270,19635,0,0,x,1027 1308,,,,,,,,,,35
AUTO / UTIL,AUDI,S3 8L,1.8T (210 HP),1.8T,210,250,40,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TN1,197400,236900,78300,39150,,,59220,71070,23490,11745,0,0,38,48,,,,,,,,,,36
AUTO / UTIL,AUDI,S3 8L,1.8T (210 HP),1.8T,210,250,40,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TN1,197400,236900,78300,39150,,,59220,71070,23490,11745,0,0,38,48,,,,,,,,,,37
AUTO / UTIL,AUDI,S3 8P,2.0TFSI (265 HP),2.0TFSI,265,310,45,51,5400,358,420,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TN2,223700,263200,91500,45750,,,67110,78960,27450,13725,0,0,93,64,,,,,,,,,,38
AUTO / UTIL,AUDI,S3 8V,20TSI MQB (300 HP),20TSI MQB,300,370,70,98,5000,380,490,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TN4,296100,339500,130900,65450,,,88830,101850,39270,19635,0,0,473,830,,,,,,,,,,39
